index,marque,modele,prix,generation,carrosserie,annee,date,energie,kilometrage,transmition,code postal,chevaux_fiscaux,chevaux_din,etat
4329,AUDI,Q8,107750,1 génération,4x4_SUV,2020,23/05/2020,DIESEL,6261,AUTOMATIQUE,75000,18,286,<50000km
4330,AUDI,Q5,63160,2 génération,4x4_SUV,2018,29/03/2020,DIESEL,16848,AUTOMATIQUE,16000,18,286,<50000km
4331,AUDI,Q7,40950,4M,4x4_SUV,2017,19/04/2020,DIESEL,116825,AUTOMATIQUE,63000,17,252,<150000km
4332,AUDI,Q5,44990,8R [restyling],4x4_SUV,2018,29/03/2020,DIESEL,53082,AUTOMATIQUE,6000,10,190,<150000km
4333,AUDI,A3,27480,8V [restyling],Hatchback,2017,29/03/2020,DIESEL,82119,MANUEL,33000,7,150,<150000km
4334,AUDI,Q3,23160,8U [restyling],4x4_SUV,2016,29/03/2020,DIESEL,136542,MANUEL,45000,8,150,<150000km
4335,AUDI,Q3,44830,F3,4x4_SUV,2020,13/04/2020,ESSENCE,17981,AUTOMATIQUE,17000,8,150,<50000km
4336,AUDI,A1,16010,8X [restyling],Hatchback,2016,29/03/2020,DIESEL,59656,MANUEL,26000,4,90,<150000km
4337,AUDI,A3,53730,8V [restyling],Hatchback,2021,13/04/2020,HYBRIDE,10625,AUTOMATIQUE,62000,6,204,<50000km
4338,AUDI,A3,37190,8V [restyling],Hatchback,2020,20/04/2020,DIESEL,24619,AUTOMATIQUE,63000,8,150,<50000km
4339,AUDI,A4,19500,B9,Break,2017,03/05/2020,DIESEL,173840,AUTOMATIQUE,91000,10,190,<250000km
4340,AUDI,A7,43980,4G [restyling],Berline,2016,14/05/2020,DIESEL,80630,AUTOMATIQUE,1000,21,320,<150000km
4341,AUDI,A4,34110,B9,Break,2017,29/03/2020,DIESEL,88209,AUTOMATIQUE,59000,10,190,<150000km
4342,AUDI,Q3,30130,8U [restyling],4x4_SUV,2018,29/03/2020,ESSENCE,71715,MANUEL,6000,8,150,<150000km
4343,AUDI,TT,37830,8S,Coupé,2016,26/05/2020,ESSENCE,83375,AUTOMATIQUE,78000,13,230,<150000km
4344,AUDI,Q8,145950,1 génération,4x4_SUV,2020,20/05/2020,DIESEL,4715,AUTOMATIQUE,75000,32,340,<5000km
4345,AUDI,A4,43270,B9,Break,2018,26/05/2020,ESSENCE,34310,AUTOMATIQUE,33000,15,252,<50000km
4346,AUDI,A1,14020,8X [restyling],Hatchback,2015,23/04/2020,DIESEL,55421,MANUEL,34000,4,90,<150000km
4347,AUDI,A5,60880,8T,Coupé,2021,29/03/2020,ESSENCE,107,AUTOMATIQUE,75000,10,190,<5000km
4348,AUDI,S3,61420,8V,Hatchback,2021,13/04/2020,ESSENCE,5250,AUTOMATIQUE,17000,19,300,<50000km
